Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_MSA,ORG_A040120,ORG_B040120,ORG_C040120,ORG_D040120,ORG_E040120,ORG_F040120,ORG_G040120,ORG_H040120,ORG_I040120,ORG_J040120,ORG_K040120,ORG_L040120,ORG_M040120,ORG_N040120,ORG_O040120,ORG_P040120,ORG_R040120,ORG_S040120,ORG_T040120,ORG_U040120,FIPS_ST_CNTY_CD,Month
48187,Guadalupe County,"Guadalupe County, Texas",0,48,187,,17,0,,,,2,13.33,0,13,325,0,,0,,0,,0.01,0,10.96,0,48187,April
48189,Hale County,"Hale County, Texas",0,48,189,,1,0,,,,0,0,0,0,0,0,,0,,0,,0,0,2.93,0,48189,April
48191,Hall County,"Hall County, Texas",0,48,191,,,,,,,,,,,,,,,,,,,,,,48191,April
48193,Hamilton County,"Hamilton County, Texas",0,48,193,,,,,,,,,,,,,,,,,,,,,,48193,April
48195,Hansford County,"Hansford County, Texas",0,48,195,,,,,,,,,,,,,,,,,,,,,,48195,April
48197,Hardeman County,"Hardeman County, Texas",0,48,197,,,,,,,,,,,,,,,,,,,,,,48197,April
48199,Hardin County,"Hardin County, Texas",0,48,199,,13,1,,,,1,8.33,0,11,550,0,,1,,0,,0.02,0,23.06,1.77,48199,April
48201,Harris County,"Harris County, Texas",0,48,201,,847,6,,,,167,24.56,0,662,357.84,0,,5,500,0,,0.02,0,18.4,0.13,48201,April
48203,Harrison County,"Harrison County, Texas",0,48,203,,3,0,,,,2,200,0,0,,0,,0,,0,,0,0,4.5,0,48203,April
48205,Hartley County,"Hartley County, Texas",0,48,205,,,,,,,,,,,,,,,,,,,,,,48205,April
48207,Haskell County,"Haskell County, Texas",0,48,207,,,,,,,,,,,,,,,,,,,,,,48207,April
48209,Hays County,"Hays County, Texas",0,48,209,,38,0,,,,14,58.33,0,31,442.86,0,,0,,0,,0.02,0,18.61,0,48209,April
48211,Hemphill County,"Hemphill County, Texas",0,48,211,,,,,,,,,,,,,,,,,,,,,,48211,April
48213,Henderson County,"Henderson County, Texas",0,48,213,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,1.24,0,48213,April
48215,Hidalgo County,"Hidalgo County, Texas",0,48,215,,46,0,,,,8,21.05,0,44,2200,0,,0,,0,,0.01,0,5.42,0,48215,April
48217,Hill County,"Hill County, Texas",0,48,217,,2,0,,,,1,100,0,0,,0,,0,,0,,0.01,0,5.65,0,48217,April
48219,Hockley County,"Hockley County, Texas",0,48,219,,7,0,,,,0,0,0,4,133.33,0,,0,,0,,0.03,0,30.22,0,48219,April
48221,Hood County,"Hood County, Texas",0,48,221,,6,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,10.54,0,48221,April
48223,Hopkins County,"Hopkins County, Texas",0,48,223,,3,0,,,,0,0,0,2,200,0,,0,,0,,0.01,0,8.28,0,48223,April
48225,Houston County,"Houston County, Texas",0,48,225,,,,,,,,,,,,,,,,,,,,,,48225,April
48227,Howard County,"Howard County, Texas",0,48,227,,,,,,,,,,,,,,,,,,,,,,48227,April
48229,Hudspeth County,"Hudspeth County, Texas",0,48,229,,,,,,,,,,,,,,,,,,,,,,48229,April
48231,Hunt County,"Hunt County, Texas",0,48,231,,4,0,,,,0,0,0,3,300,0,,0,,0,,0,0,4.34,0,48231,April
48233,Hutchinson County,"Hutchinson County, Texas",0,48,233,,,,,,,,,,,,,,,,,,,,,,48233,April
48235,Irion County,"Irion County, Texas",0,48,235,,,,,,,,,,,,,,,,,,,,,,48235,April
48237,Jack County,"Jack County, Texas",0,48,237,,,,,,,,,,,,,,,,,,,,,,48237,April
48239,Jackson County,"Jackson County, Texas",0,48,239,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,6.75,0,48239,April
48241,Jasper County,"Jasper County, Texas",0,48,241,,,,,,,,,,,,,,,,,,,,,,48241,April
48243,Jeff Davis County,"Jeff Davis County, Texas",0,48,243,,,,,,,,,,,,,,,,,,,,,,48243,April
48245,Jefferson County,"Jefferson County, Texas",0,48,245,,27,0,,,,9,50,0,20,285.71,0,,0,,0,,0.01,0,10.58,0,48245,April
48247,Jim Hogg County,"Jim Hogg County, Texas",0,48,247,,,,,,,,,,,,,,,,,,,,,,48247,April
48249,Jim Wells County,"Jim Wells County, Texas",0,48,249,,,,,,,,,,,,,,,,,,,,,,48249,April
48251,Johnson County,"Johnson County, Texas",0,48,251,,12,0,,,,4,50,0,9,300,0,,0,,0,,0.01,0,7.34,0,48251,April
48253,Jones County,"Jones County, Texas",0,48,253,,,,,,,,,,,,,,,,,,,,,,48253,April
48255,Karnes County,"Karnes County, Texas",0,48,255,,2,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,13,0,48255,April
48257,Kaufman County,"Kaufman County, Texas",0,48,257,,4,0,,,,1,33.33,0,2,100,0,,0,,0,,0,0,3.36,0,48257,April
48259,Kendall County,"Kendall County, Texas",0,48,259,,7,0,,,,0,0,0,4,133.33,0,,0,,0,,0.02,0,16.67,0,48259,April
48261,Kenedy County,"Kenedy County, Texas",0,48,261,,,,,,,,,,,,,,,,,,,,,,48261,April
48263,Kent County,"Kent County, Texas",0,48,263,,,,,,,,,,,,,,,,,,,,,,48263,April
48265,Kerr County,"Kerr County, Texas",0,48,265,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,1.95,0,48265,April
48267,Kimble County,"Kimble County, Texas",0,48,267,,,,,,,,,,,,,,,,,,,,,,48267,April
48269,King County,"King County, Texas",0,48,269,,,,,,,,,,,,,,,,,,,,,,48269,April
48271,Kinney County,"Kinney County, Texas",0,48,271,,,,,,,,,,,,,,,,,,,,,,48271,April
48273,Kleberg County,"Kleberg County, Texas",0,48,273,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,3.18,0,48273,April
48275,Knox County,"Knox County, Texas",0,48,275,,,,,,,,,,,,,,,,,,,,,,48275,April
48277,Lamar County,"Lamar County, Texas",0,48,277,,3,0,,,,0,0,0,2,200,0,,0,,0,,0.01,0,6.06,0,48277,April
48279,Lamb County,"Lamb County, Texas",0,48,279,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,7.54,0,48279,April
48281,Lampasas County,"Lampasas County, Texas",0,48,281,,,,,,,,,,,,,,,,,,,,,,48281,April
48283,La Salle County,"La Salle County, Texas",0,48,283,,,,,,,,,,,,,,,,,,,,,,48283,April
48285,Lavaca County,"Lavaca County, Texas",0,48,285,,1,0,,,,0,0,0,0,0,0,,0,,0,,0.01,0,5.01,0,48285,April
48287,Lee County,"Lee County, Texas",0,48,287,,,,,,,,,,,,,,,,,,,,,,48287,April
48289,Leon County,"Leon County, Texas",0,48,289,,2,0,,,,1,100,0,0,,0,,0,,0,,0.01,0,11.7,0,48289,April
48291,Liberty County,"Liberty County, Texas",0,48,291,,3,0,,,,1,50,0,2,200,0,,0,,0,,0,0,3.66,0,48291,April
